name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales
AC-13 (RBCR),113,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,13 (RBCR) Secundária,Comunidade,70,177,177,177,0.3955,1200401,64,1.09375,"-67.7968259155856,-10.045470446321,0 -67.79840640724819,-10.0461416691272,0 -67.7984607219814,-10.0468611716956,0 -67.79992386699899,-10.047089830014,0 -67.79991045595411,-10.0476390123093,0 -67.8007352352263,-10.0476443767271,0 -67.8010490536807,-10.0482572614871,0 -67.8010396659492,-10.0494018941842,0 -67.8013648837922,-10.0494136288486,0 -67.8013508021949,-10.0496721267424,0 -67.8016156703351,-10.049689561101,0 -67.8016203642009,-10.0498920678816,0 -67.80127050356251,-10.0498660839818,0 -67.8012900333969,-10.0496586318783,0 -67.8006317396766,-10.0495980516731,0 -67.8000458655996,-10.0495777046031,0 -67.8000420308789,-10.0496673281028,0 -67.7996914263466,-10.0496437435228,0 -67.7996985142935,-10.0495447794397,0 -67.7992594937795,-10.0495234605929,0 -67.7992491958256,-10.0497246956816,0 -67.79890228064041,-10.0496966018996,0 -67.79892323539841,-10.0495090149066,0 -67.79858087656341,-10.0494816479928,0 -67.7985928207754,-10.0483370572052,0 -67.7980382740615,-10.0482948124133,0 -67.79728859664191,-10.0486341118537,0 -67.796738743793,-10.047617554637,0 -67.7964973449819,-10.045879483196,0 -67.79657747597609,-10.0455442070691,0 -67.7967622131218,-10.0456058978764,0 -67.7968259155856,-10.045470446321,0",ATIVAS,Sem restrição de Venda
AC-24 (RBCR),109,AC,RIO BRANCO,RBO,RBCR,PRATA,Sem Restrição de Vendas,24 (RBCR) Secundária,Defesa Oi,16,71,71,71,0.2254,1200401,26,0.615384615,"-67.80172765255089,-10.0307182967656,0 -67.8016901016252,-10.0318528711793,0 -67.79996611178051,-10.031788498163,0 -67.7999594062576,-10.031576603651,0 -67.7989824116239,-10.0315367057916,0 -67.7989696711312,-10.0312319397918,0 -67.7993937954316,-10.0313336960962,0 -67.7994182705889,-10.0312758609642,0 -67.8002189099798,-10.0314128212618,0 -67.80020415783029,-10.0307652354226,0 -67.80172765255089,-10.0307182967656,0",ATIVAS,Sem restrição de Venda
AC-181 (RBCE),225,AC,RIO BRANCO,RBO,RBCE,OURO,Sem Restrição de Vendas,181 (RBCE) Secundária,Centro Regional,92,368,368,368,0.25,1200401,55,1.672727273,"-67.8229392512541,-9.95569244201738,0 -67.82268578250201,-9.9555368738945,0 -67.822282110044,-9.9563911574655,0 -67.82165983755201,-9.956133665400101,0 -67.821820770093,-9.955699147539701,0 -67.821298077968,-9.955486541102299,0 -67.82159389829999,-9.9548643340267,0 -67.82122241235101,-9.954695354858799,0 -67.8209407804035,-9.9553954114117,0 -67.8203681287788,-9.95519893960137,0 -67.8178830621266,-9.95434532658239,0 -67.8189049837615,-9.95187501207964,0 -67.8185777542617,-9.951756994882929,0 -67.8193046329046,-9.9501651038326,0 -67.8183309910322,-9.94979630009305,0 -67.81874405122031,-9.94916598097455,0 -67.82039360976481,-9.94985128537787,0 -67.8204556358483,-9.949830665896069,0 -67.82072955644399,-9.94993611023796,0 -67.8204110441236,-9.950387056628591,0 -67.82337957895091,-9.951415348509681,0 -67.8233829317122,-9.951412331024541,0 -67.8233494040996,-9.951459269682269,0 -67.8233484053067,-9.951457110590869,0 -67.8229611684156,-9.9524876019702,0 -67.8227875094527,-9.952799784451161,0 -67.8236203634936,-9.953134470839469,0 -67.8234943559533,-9.95369655525549,0 -67.824073769384,-9.953955550052831,0 -67.82372511035381,-9.95485618254328,0 -67.82338716608881,-9.954721777223259,0 -67.82327988476359,-9.95497912185405,0 -67.8230733581872,-9.95488651192572,0 -67.822806480149,-9.955402129750169,0 -67.823037821556,-9.95550034722601,0 -67.8229392512541,-9.95569244201738,0",ATIVAS,Sem restrição de Venda
AC-208 (RBCE),225,AC,RIO BRANCO,RBO,RBCE,PRATA,Sem Restrição de Vendas,208 (RBCE) Secundária,Centro Regional,109,422,422,422,0.2583,1200401,70,1.557142857,"-67.82669340521041,-9.94736449178073,0 -67.8266521662468,-9.948158090372999,0 -67.82644203193431,-9.94919333923372,0 -67.8261997111136,-9.95011593531582,0 -67.82634538859079,-9.95053151007505,0 -67.8262987852092,-9.950686742921789,0 -67.8260979548093,-9.950867456754169,0 -67.82601815909111,-9.95103844757886,0 -67.8260604038831,-9.951114219983531,0 -67.82592629343191,-9.951320750077651,0 -67.8258257105938,-9.951446813901351,0 -67.8254843994966,-9.951382440885,0 -67.8251823157063,-9.9512563770613,0 -67.8241917423894,-9.951124948819571,0 -67.8241493299594,-9.95124967153876,0 -67.82402695417311,-9.951630209942749,0 -67.8230207905164,-9.9512785052857,0 -67.82206592410721,-9.95095596965167,0 -67.8223577819757,-9.950276532580579,0 -67.8230331957336,-9.95049697663398,0 -67.8234613433479,-9.94953104611248,0 -67.8235941126941,-9.949465331991609,0 -67.8239273771642,-9.949510258992611,0 -67.8244497373698,-9.949614194591939,0 -67.824508243054,-9.949319780243041,0 -67.82421940267071,-9.949272129123511,0 -67.82425326555951,-9.949096360614,0 -67.8238596513866,-9.949034502168599,0 -67.8234747543929,-9.94898052271218,0 -67.8235297396776,-9.94865530486911,0 -67.82367055565081,-9.9483032649359,0 -67.82385026365471,-9.94746976848452,0 -67.824004490673,-9.94677574690192,0 -67.82431830912761,-9.946786475737969,0 -67.8249016895884,-9.946717408855861,0 -67.8266840174788,-9.946897452136,0 -67.82669340521041,-9.94736449178073,0",ATIVAS,Sem restrição de Venda
AC-68003 (RBCE),144,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,68003 (RBCE) Secundária,IBGE 8,25,67,67,67,0.3731,1200401,11,2.272727273,"-67.8190386295222,-9.92352314293424,0 -67.8177786618371,-9.92422387003948,0 -67.8184780478372,-9.92444984614894,0 -67.8184512257471,-9.92455780506177,0 -67.81844653188131,-9.92472879588645,0 -67.8183358907598,-9.924612790346581,0 -67.8182339668174,-9.92455076426312,0 -67.8179100900789,-9.924496952444761,0 -67.8178652516004,-9.924547427484841,0 -67.81639200403779,-9.925286535715021,0 -67.81622266746309,-9.924934575605089,0 -67.8161782323109,-9.924825650775491,0 -67.815741613442,-9.92429643736507,0 -67.816102661155,-9.923860169282911,0 -67.81852014732991,-9.92256110500883,0 -67.8190386295222,-9.92352314293424,0",ATIVAS,Sem restrição de Venda
AC-26 (RBCR),109,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,26 (RBCR) Secundária,Defesa Oi,52,184,184,180,0.2826,1200401,58,0.896551724,"-67.80491814017169,-10.0281594693653,0 -67.8053231537338,-10.0289158523071,0 -67.80400350689921,-10.0294737517819,0 -67.8033651411538,-10.030077248811,0 -67.8032712638382,-10.0307263433923,0 -67.8029762208465,-10.0311903655516,0 -67.80263155698761,-10.0311890244474,0 -67.8026758134358,-10.032217651605,0 -67.80196167528629,-10.0322438031431,0 -67.8019573166964,-10.032110027969,0 -67.8016974776979,-10.0321197509772,0 -67.8017001599071,-10.0318478420383,0 -67.8017149120568,-10.0313041917985,0 -67.80173771083351,-10.0307089090352,0 -67.80022025108281,-10.0307558476928,0 -67.8002913296221,-10.0298445671796,0 -67.8004670143123,-10.0298894941805,0 -67.80048042535731,-10.0299853831528,0 -67.80098468065199,-10.030081272125,0 -67.801003456115,-10.029735267162,0 -67.80166596174099,-10.0297366082669,0 -67.8018966317164,-10.0297352671622,0 -67.8019087016569,-10.029959231614,0 -67.802120596169,-10.030063837766,0 -67.802839428185,-10.029782205819,0 -67.802858203649,-10.029766112566,0 -67.802657037972,-10.029299408197,0 -67.80491814017169,-10.0281594693653,0",ATIVAS,Sem restrição de Venda
AC-165 (RBCE),229,AC,RIO BRANCO,RBO,RBCE,OURO,Sem Restrição de Vendas,165 (RBCE) Secundária,Centro Regional,82,444,444,412,0.1847,1200401,27,3.037037037,"-67.811581310527,-9.9578942026564,0 -67.81155985285901,-9.9581356014661,0 -67.811577287215,-9.958140965884301,0 -67.812246498364,-9.958256300872,0 -67.81215932657101,-9.9590193893369,0 -67.81236451556001,-9.959157523101201,0 -67.812230405108,-9.959522303527301,0 -67.81245839287401,-9.9595960642752,0 -67.812336352363,-9.959972914642,0 -67.812380608811,-9.960301485246299,0 -67.812218335165,-9.960627373641801,0 -67.81257238675499,-9.960777577346599,0 -67.812725272669,-9.9604583944739,0 -67.813898739113,-9.9609465565146,0 -67.813702937852,-9.9613931443157,0 -67.81323623348401,-9.961253669446901,0 -67.813099440824,-9.9615487124385,0 -67.813299265396,-9.961720373815499,0 -67.813021656762,-9.9622916843359,0 -67.81246643949601,-9.9618960585062,0 -67.812328305731,-9.9620784487192,0 -67.811405625829,-9.9617015983531,0 -67.811459270009,-9.9615205492446,0 -67.81101,-9.9613126780459,0 -67.811136063823,-9.9610216583681,0 -67.81035554100001,-9.9607292975855,0 -67.81076323677701,-9.957789596504799,0 -67.811581310527,-9.9578942026564,0",ATIVAS,Sem restrição de Venda
AC-135 (RBCE),235,AC,RIO BRANCO,RBO,RBCE,OURO,Sem Restrição de Vendas,135 (RBCE) Secundária,Centro Regional,45,304,304,304,0.148,1200401,46,0.97826087,"-67.8285095095802,-9.96739268303137,0 -67.8286114335225,-9.967339038851071,0 -67.8287556022569,-9.96768504381399,0 -67.82787550242379,-9.968027025463391,0 -67.8279879875644,-9.96846355498057,0 -67.8296212852164,-9.96810615062933,0 -67.82972186805419,-9.96852725744467,0 -67.8306958452028,-9.968262054028321,0 -67.83087706194939,-9.969722684475,0 -67.82898761333649,-9.969885125758459,0 -67.828145734982,-9.969923011960811,0 -67.8258876502676,-9.97006818652374,0 -67.8256744146511,-9.9701225012563,0 -67.8253156691954,-9.9701449647568,0 -67.82347500325901,-9.97039407491906,0 -67.8232657909558,-9.968870580198599,0 -67.8225710988207,-9.968940317632979,0 -67.82265156509121,-9.96832877397758,0 -67.8227373957798,-9.96770918369514,0 -67.8228017687961,-9.9672397971175,0 -67.8236362710759,-9.967537857594291,0 -67.8242025524541,-9.967674985530181,0 -67.82533511521071,-9.96775344014387,0 -67.8272991627619,-9.967839941384611,0 -67.82757878305171,-9.9678084254287,0 -67.8285095095802,-9.96739268303137,0",ATIVAS,Sem restrição de Venda
AC-243 (RBCE),216,AC,RIO BRANCO,RBO,RBCE,OURO,Sem Restrição de Vendas,243 (RBCE) Secundária,Centro Regional,115,414,414,414,0.2778,1200401,67,1.71641791,"-67.8103497714809,-9.960726542714291,0 -67.80867656713301,-9.96022788100821,0 -67.8068343599209,-9.96118338404227,0 -67.8063218514871,-9.960006328073471,0 -67.8066889010984,-9.95971885818186,0 -67.806598891601,-9.959495958331839,0 -67.80717391444389,-9.959174881350989,0 -67.80705331217951,-9.958928588316351,0 -67.80676852175451,-9.95901401828977,0 -67.8066245345546,-9.958694868152779,0 -67.80701363639631,-9.95851921619809,0 -67.8068536920463,-9.95817889877865,0 -67.8072826786521,-9.95800161124067,0 -67.80770697139219,-9.957831029225231,0 -67.8078744129617,-9.957768681469769,0 -67.8078724673948,-9.957686033343871,0 -67.8078673707284,-9.957579418270569,0 -67.80786160350971,-9.95747481485402,0 -67.80784604575859,-9.95723878593078,0 -67.81079256366181,-9.95753348743342,0 -67.8103497714809,-9.960726542714291,0",ATIVAS,Sem restrição de Venda
AC-131 (RBCE),235,AC,RIO BRANCO,RBO,RBCE,PRATA,Sem Restrição de Vendas,131 (RBCE) Secundária,Centro Regional,79,386,386,333,0.2047,1200401,62,1.274193548,"-67.8150021722895,-9.965360202499239,0 -67.814818440972,-9.966249354787699,0 -67.8137395223962,-9.96590938479507,0 -67.8137888079869,-9.96578533262813,0 -67.8135557910787,-9.96557612032497,0 -67.813371389209,-9.96587384552562,0 -67.81242792218811,-9.96549498350228,0 -67.8123256629695,-9.964908920832521,0 -67.8121690890182,-9.96483650118912,0 -67.8121723171926,-9.964322804768379,0 -67.8121829214417,-9.963811120004401,0 -67.81375025123241,-9.96388163477982,0 -67.8141599586594,-9.96423367471303,0 -67.8149317643031,-9.964391254492639,0 -67.8145810654742,-9.96514294356907,0 -67.8150021722895,-9.965360202499239,0",ATIVAS,Sem restrição de Venda
