name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales
DF-116 (ETCO),276,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,116 (ETCO) Secundária,Nobre,132,556,556,556,0.2374,5300108,34,3.882352941,"-47.9064335673922,-15.8220528065992,0 -47.90785664691249,-15.8230710401967,0 -47.9082309827079,-15.8226623385983,0 -47.9087114333974,-15.8229714631877,0 -47.90692239998489,-15.8252674341039,0 -47.90462374685859,-15.823626592739,0 -47.9055299982299,-15.8224454149439,0 -47.9064335673922,-15.8220528065992,0",ATIVAS,Sem restrição de Venda
DF-93 (ETCO),275,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,93 (ETCO) Secundária,Nobre,131,544,544,513,0.2408,5300108,33,3.96969697,"-47.8990232944234,-15.8199278265594,0 -47.897244989846,-15.8222700655817,0 -47.89561823007841,-15.8210530132409,0 -47.89405517277499,-15.8198426664227,0 -47.8945718332869,-15.8192636445518,0 -47.89484290403569,-15.8194951527175,0 -47.8952223108828,-15.8190569887292,0 -47.8956090938047,-15.8186194952932,0 -47.8963263332592,-15.817802175915,0 -47.8990232944234,-15.8199278265594,0",ATIVAS,Sem restrição de Venda
DF-105 (ETCO),274,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,105 (ETCO) Secundária,Nobre,150,512,512,512,0.293,5300108,31,4.838709677,"-47.89357237517329,-15.8155511319683,0 -47.89520382880691,-15.8169059827969,0 -47.8955203294707,-15.8165408670947,0 -47.8958421945528,-15.8167997002645,0 -47.8955300524786,-15.8171674981757,0 -47.8963149338915,-15.8177968114659,0 -47.89484173059,-15.8194819092796,0 -47.8945735096888,-15.8192485570956,0 -47.8940451145124,-15.8198413252875,0 -47.8915815055324,-15.8176781237171,0 -47.89357237517329,-15.8155511319683,0",ATIVAS,Sem restrição de Venda
DF-121 (ETCO),274,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,121 (ETCO) Secundária,Nobre,122,442,442,442,0.276,5300108,27,4.518518519,"-47.9051943868218,-15.8125805855008,0 -47.9073327779593,-15.8141362667292,0 -47.9070578515349,-15.8145064115736,0 -47.9073019325553,-15.8146841079202,0 -47.906202226859,-15.8161170780868,0 -47.905554473382,-15.8156409859867,0 -47.905271500331,-15.8160473406524,0 -47.9030808061181,-15.8143159747333,0 -47.9038693755684,-15.8132870123,0 -47.9040242731392,-15.8130774647207,0 -47.9043903946697,-15.8125905783687,0 -47.9049100726663,-15.8129560947627,0 -47.9051320254621,-15.8126610517711,0 -47.9051943868218,-15.8125805855008,0",ATIVAS,Sem restrição de Venda
DF-161 (ETCO),270,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,161 (ETCO) Secundária,Nobre,143,574,574,574,0.2491,5300108,35,4.085714286,"-47.9218791486276,-15.8331536648616,0 -47.9214416800751,-15.8337420343558,0 -47.9217659588829,-15.8340085387683,0 -47.9208325501455,-15.835153090593,0 -47.9199464556147,-15.8345422712682,0 -47.9198113796081,-15.8347361146479,0 -47.91838251330031,-15.8336807729571,0 -47.91988900323471,-15.8317172347668,0 -47.9218791486276,-15.8331536648616,0",ATIVAS,Sem restrição de Venda
DF-156 (ETCO),269,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,156 (ETCO) Secundária,Nobre,209,721,683,683,0.2899,5300108,44,4.75,"-47.9179221392228,-15.8335930108359,0 -47.9206036776856,-15.8354967086843,0 -47.9204989458054,-15.8356329984298,0 -47.9199456144676,-15.8363627269199,0 -47.9193043150559,-15.8372173457672,0 -47.91924480354339,-15.8371737598705,0 -47.9187529534653,-15.837778598003,0 -47.91585817938569,-15.835741460256,0 -47.9162846506192,-15.8351634442137,0 -47.9165582359386,-15.8353391289043,0 -47.9179221392228,-15.8335930108359,0",ATIVAS,Sem restrição de Venda
DF-1 (ETTG),269,DF,BRASILIA,TAGA,ETTG,OURO,Sem Restrição de Vendas,1 (ETTG) Secundária,Carente de Fibra,339,1424,1424,1400,0.2381,5300108,139,2.438848921,"-48.0557826534247,-15.8332959561794,0 -48.0561662093134,-15.8322378247233,0 -48.0574188009232,-15.8326730131361,0 -48.0581369623869,-15.8306253141913,0 -48.0592735484569,-15.831007696614,0 -48.0594224110572,-15.8305922894929,0 -48.06308362636329,-15.8317456393693,0 -48.0629387870758,-15.8321613817667,0 -48.0629669502708,-15.8322713523361,0 -48.0633431300852,-15.8325731008501,0 -48.0637219921087,-15.8328131585569,0 -48.063742108676,-15.8329164236039,0 -48.0637203157277,-15.8330642803759,0 -48.0634463951319,-15.8338370918483,0 -48.06302193555509,-15.835004523322,0 -48.06281808767091,-15.8356053381417,0 -48.0604926124543,-15.8347953110192,0 -48.0601090565654,-15.8346746116135,0 -48.0557826534247,-15.8332959561794,0",ATIVAS,Sem restrição de Venda
DF-2 (ETTG),269,DF,BRASILIA,TAGA,ETTG,OURO,Sem Restrição de Vendas,2 (ETTG) Secundária,Carente de Fibra,127,498,498,485,0.255,5300108,75,1.693333333,"-48.055276721779,-15.833245664748,0 -48.0570174754292,-15.8337767421327,0 -48.05687129503819,-15.8342219888294,0 -48.0567398667968,-15.8346055447188,0 -48.0566024035845,-15.8350186049069,0 -48.05637642747499,-15.8354839681709,0 -48.0560947955286,-15.8360043167199,0 -48.0557876825965,-15.8365085720151,0 -48.0555771291881,-15.8367700873938,0 -48.0548945069937,-15.8374822138871,0 -48.0541139841709,-15.8380870520195,0 -48.0540164188179,-15.8381571247301,0 -48.05393746128991,-15.8380620739482,0 -48.05389605468831,-15.8380950986468,0 -48.0537069589534,-15.8378034084169,0 -48.0528305471574,-15.836344286713,0 -48.05260859436121,-15.8360626547661,0 -48.0529914796978,-15.835777670058,0 -48.05310547358079,-15.8356831221901,0 -48.0532945693172,-15.8354906736933,0 -48.0535017699633,-15.8352519570912,0 -48.0537693203122,-15.8349394797413,0 -48.0539584160476,-15.8346658944219,0 -48.05413007742519,-15.8343145250405,0 -48.05421859032209,-15.8340919016921,0 -48.05426552898041,-15.833904147061,0 -48.054288998309,-15.8338082580887,0 -48.054030835691,-15.8337311445796,0 -48.0540831387674,-15.8336064218607,0 -48.0543111265337,-15.8329506217568,0 -48.055276721779,-15.833245664748,0",ATIVAS,Sem restrição de Venda
DF-133 (ETCO),268,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,133 (ETCO) Secundária,Nobre,125,393,393,393,0.3181,5300108,63,1.984126984,"-47.9233707974489,-15.823710573321,0 -47.9228827278139,-15.8243330833859,0 -47.917605878457,-15.820528356443,0 -47.91921700194101,-15.818405921949,0 -47.924255318,-15.8220505562398,0 -47.9231318066852,-15.8235174624605,0 -47.9233707974489,-15.823710573321,0",ATIVAS,Sem restrição de Venda
DF-151 (ETCO),268,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,151 (ETCO) Secundária,Nobre,107,447,447,447,0.2394,5300108,67,1.597014925,"-47.9137506336198,-15.8146559445441,0 -47.9189407080645,-15.8183761684469,0 -47.917607650184,-15.8201464263969,0 -47.91714631023339,-15.8198525568717,0 -47.9169800132745,-15.8200468493873,0 -47.916379198455,-15.8196146784599,0 -47.9164408892622,-15.8195254950103,0 -47.91232369842411,-15.8165388552726,0 -47.9137506336198,-15.8146559445441,0",ATIVAS,Sem restrição de Venda
DF-164 (ETCO),268,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,164 (ETCO) Secundária,Nobre,58,370,370,278,0.1568,5300108,23,2.52173913,"-47.92168125517401,-15.828138738788,0 -47.9198198021176,-15.8305607735288,0 -47.91737630970501,-15.828865617431,0 -47.918237298799,-15.827720314182,0 -47.9194737971553,-15.8261512219084,0 -47.92065128691281,-15.8270443975104,0 -47.9218475521334,-15.8279563485755,0 -47.921713441682,-15.82810655228,0 -47.92168125517401,-15.828138738788,0",ATIVAS,Sem restrição de Venda
DF-167 (ETCO),268,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,167 (ETCO) Secundária,Nobre,81,442,442,442,0.1833,5300108,43,1.88372093,"-47.9194620624897,-15.8261414988977,0 -47.91939198977911,-15.8262223004449,0 -47.9188173264977,-15.826917663132,0 -47.9177907109972,-15.8282487093556,0 -47.9173468054053,-15.8288522063841,0 -47.91583253077849,-15.8277531712401,0 -47.9149163887621,-15.8270591496573,0 -47.9154153634578,-15.8264127372847,0 -47.91494069628109,-15.8260747789487,0 -47.9152466357465,-15.8256724475964,0 -47.9165206850289,-15.8240188657387,0 -47.91673928506359,-15.8241781218989,0 -47.9186101258514,-15.8255095033986,0 -47.9194620624897,-15.8261414988977,0",ATIVAS,Sem restrição de Venda
DF-3 (ETTG),268,DF,BRASILIA,TAGA,ETTG,OURO,Sem Restrição de Vendas,3 (ETTG) Secundária,Carente de Fibra,66,357,357,247,0.1849,5300108,54,1.222222222,"-48.0540130660512,-15.8381618185887,0 -48.0530853570086,-15.8387146889216,0 -48.0519973859774,-15.8393034338001,0 -48.05017482495141,-15.8361987768652,0 -48.0519779399619,-15.8351828902009,0 -48.0520081623896,-15.8352330536666,0 -48.0520497842057,-15.8352959576251,0 -48.0521249812107,-15.8354164011242,0 -48.0522646463848,-15.8356465592862,0 -48.0523111297047,-15.8357163364053,0 -48.0523475547408,-15.8357680086136,0 -48.05242778088769,-15.8358720235825,0 -48.05260432643569,-15.8360666424751,0 -48.0528256319277,-15.8363507198979,0 -48.0528993717421,-15.8364687062902,0 -48.0532360682574,-15.8370386659279,0 -48.05376088158499,-15.8378966647417,0 -48.0538933934291,-15.8381006306952,0 -48.0539367069137,-15.8380686118251,0 -48.0540130660512,-15.8381618185887,0",ATIVAS,Sem restrição de Venda
DF-4 (ETTG),268,DF,BRASILIA,TAGA,ETTG,PRATA,Sem Restrição de Vendas,4 (ETTG) Secundária,Carente de Fibra,197,1129,1129,1121,0.1745,5300108,169,1.165680473,"-48.05744528769949,-15.8361491560916,0 -48.0577738583033,-15.8354128897169,0 -48.057871758932,-15.8351667970398,0 -48.05794987826929,-15.8351942896823,0 -48.05805750190569,-15.8352325111609,0 -48.0599772930081,-15.8358561247568,0 -48.0600895686012,-15.8358885208126,0 -48.0597068181606,-15.8366677090798,0 -48.0603325783096,-15.8370392015767,0 -48.0602000787558,-15.8373744908003,0 -48.0606968270086,-15.8376910176575,0 -48.06129335657991,-15.836366058791,0 -48.06031919083861,-15.8359584677945,0 -48.0604954622623,-15.8356678672115,0 -48.06060660629831,-15.8356070145945,0 -48.0610005557474,-15.8354853093604,0 -48.0617180466591,-15.8352908492066,0 -48.0640394985617,-15.8360512554622,0 -48.06474626063721,-15.8362671732878,0 -48.0640099942627,-15.8382976055121,0 -48.06530416011249,-15.8388474583602,0 -48.0648696422523,-15.8397620916344,0 -48.0637860298107,-15.8415484428384,0 -48.0625675525467,-15.8407419361152,0 -48.0613168887744,-15.83991397172,0 -48.05885847657409,-15.8382902294376,0 -48.0590243544379,-15.8380396105328,0 -48.0588321573981,-15.8379264548401,0 -48.0586690455623,-15.838164165614,0 -48.0570174753615,-15.8370691537837,0 -48.0574472993562,-15.8363342285136,0 -48.05744528769949,-15.8361491560916,0",ATIVAS,Sem restrição de Venda
DF-6 (ETTG),268,DF,BRASILIA,TAGA,ETTG,OURO,Sem Restrição de Vendas,6 (ETTG) Secundária,Carente de Fibra,102,463,463,463,0.2203,5300108,45,2.266666667,"-48.0480984598075,-15.8382276900364,0 -48.0484853684578,-15.8379708685233,0 -48.048791140286,-15.8377978660421,0 -48.0496279894985,-15.8373217739419,0 -48.0505225062047,-15.836817518647,0 -48.0519890039837,-15.8393072791654,0 -48.04950058457061,-15.8406785585244,0 -48.0500866472402,-15.8416723169643,0 -48.0492893606105,-15.8421088464814,0 -48.0482238530793,-15.8430925466376,0 -48.04767064746989,-15.8428276784973,0 -48.0465705226786,-15.8423084195958,0 -48.0460765771247,-15.842092250313,0 -48.04666314270871,-15.8409115754322,0 -48.0472510493971,-15.8397905797021,0 -48.0475564021297,-15.8392206941055,0 -48.0479348450578,-15.8385321207599,0 -48.0480984598075,-15.8382276900364,0",ATIVAS,Sem restrição de Venda
